hw_id,pos_id,ip,mavlink_port,serial_port,baudrate,x,y
1,1,100.96.240.11,14551,/dev/ttyS0,57600,-2.5,10.0
2,2,100.96.28.52,14552,/dev/ttyS0,57600,-2.5,5.0
3,5,100.96.151.85,14553,/dev/ttyS0,57600,-2.5,-10.0
4,4,100.96.1.60,14554,/dev/ttyS0,57600,-2.5,-5.0
5,5,100.96.177.73,14555,/dev/ttyS0,57600,-2.5,-10.0
6,6,100.96.51.8,14556,/dev/ttyS0,57600,2.5,10.0
7,1,100.96.92.236,14557,/dev/ttyS0,57600,-2.5,10.0
8,2,100.96.162.182,14558,/dev/ttyS0,57600,-2.5,5.0
9,3,100.96.85.156,14559,/dev/ttyS0,57600,-2.5,-0.0
10,5,100.96.101.197,14560,/dev/ttyS0,57600,-2.5,-10.0
