hw_id,pos_id,x,y,ip,mavlink_port,debug_port,gcs_ip
1,1,-7.5,-7.5,172.17.0.3,14551,13541,172.17.0.1
2,2,-7.5,-2.5,172.17.0.4,14552,13542,172.17.0.1
3,3,-7.5,2.5,172.17.0.5,14553,13543,172.17.0.1
4,4,-7.5,7.5,172.17.0.6,14554,13544,172.17.0.1
5,5,-2.5,-7.5,172.17.0.7,14555,13545,172.17.0.1
6,6,-2.5,-2.5,172.17.0.8,14556,13546,172.17.0.1
7,7,-2.5,2.5,172.17.0.9,14557,13547,172.17.0.1
8,8,-2.5,7.5,172.17.0.10,14558,13548,172.17.0.1
9,9,2.5,-7.5,172.17.0.11,14559,13549,172.17.0.1
10,10,2.5,-2.5,172.17.0.12,14560,13550,172.17.0.1
11,11,2.5,2.5,172.17.0.13,14561,13551,172.17.0.1
12,12,2.5,7.5,172.17.0.14,14562,13552,172.17.0.1
13,13,7.5,-7.5,172.17.0.15,14563,13553,172.17.0.1
14,14,7.5,-2.5,172.17.0.16,14564,13554,172.17.0.1
15,15,7.5,2.5,172.17.0.17,14565,13555,172.17.0.1
16,16,7.5,7.5,172.17.0.18,14566,13556,172.17.0.1
