hw_id,follow,offset_n,offset_e,offset_alt
1,0,0,0,0
2,1,-3,-3,0.25
3,1,3,3,0.5
4,1,-3,3,0.75
5,0,0,0,1
6,5,-3,-3,1.25
7,5,3,3,1.5
8,5,-3,3,1.75
9,0,0,0,2
10,9,-3,-3,2.25
11,9,3,3,2.5
12,9,-3,3,2.75
13,2,-2,1.2,3
14,6,3,5,3.25
15,9,4,10,3.5
16,1,5,2,3.75
17,7,2,5,4
18,8,2,5,4.25
19,8,3,5,4.5
20,9,3,6,4.75
21,9,3,6,5
22,9,3,6,5.25
23,10,4,7,5.5
24,10,4,7,5.75
25,11,4,7,6
26,11,4,8,6.25
27,11,5,8,6.5
28,12,5,8,6.75
29,12,5,9,7
30,13,5,9,7.25
31,13,6,9,7.5
32,13,6,10,7.75
33,14,6,10,8
34,14,6,11,8.25
35,15,7,11,8.5
36,15,7,11,8.75
37,15,7,12,9
38,16,7,12,9.25
39,16,8,12,9.5
40,17,8,13,9.75
