idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-3.5,0.0,0.0,0.0,-9.356639767328924e-74,0.005679460532733598,0.0,1.1227967720794708e-72,-0.14575352639280317,0,70,255.0,230.0,255.0
1,0.05,-3.5,-3.368390316238413e-75,0.00010206057917840946,0.0,-4.304054292971305e-74,-0.0015914481549425454,0.0,8.982374176635766e-73,-0.14508282111424253,0,70,254.8381032387288,204.62529451241488,255.0
2,0.1,-3.5,-4.491187088317884e-75,-0.0001585858944287875,0.0,-3.742655906931567e-75,-0.008828821578690657,0.0,6.736780632476824e-73,-0.14441211583568192,0,70,254.7841376516384,178.71372601655318,255.0
3,0.15000000000000002,-3.5,-3.9297887022781493e-75,-0.0007802626576251893,0.0,2.4327263395055203e-74,-0.016032659738510743,0.0,4.4911870883178826e-73,-0.14374141055712128,0,70,254.8111204451836,152.78951026448402,255.0
4,0.2,-3.5,-2.2455935441589423e-75,-0.0017612929472143944,0.0,4.1169214976247264e-74,-0.023202962634402784,0.0,2.2455935441589406e-73,-0.14307070527856067,0,70,254.8920688258192,127.37686300827659,255.0
5,0.25,-3.5,0.0,-0.0031,0.0,4.678319883664462e-74,-0.0303397302663668,0.0,0.0,-0.14239999999999997,0,70,255.0,103.0,255.0
6,0.30000000000000004,-3.5,2.245593544158944e-75,-0.004794707052785608,0.0,4.116921497624726e-74,-0.037442962634402784,0.0,-2.2455935441589438e-73,-0.14172929472143936,0,70,255.1079311741808,80.18313699172339,255.0
7,0.35000000000000003,-3.5,3.929788702278149e-75,-0.006843737342374812,0.0,2.4327263395055187e-74,-0.04451265973851074,0.0,-4.491187088317885e-73,-0.14105858944287875,0,70,255.1888795548164,59.450489735515944,255.0
8,0.4,-3.5,4.491187088317885e-75,-0.009245414105571214,0.0,-3.7426559069315787e-75,-0.051548821578690666,0.0,-6.736780632476826e-73,-0.14038788416431813,0,70,255.2158623483616,41.326273983446804,255.0
9,0.45,-3.5,3.368390316238412e-75,-0.01199806057917841,0.0,-4.3040542929713065e-74,-0.058551448154942544,0.0,-8.982374176635768e-73,-0.13971717888575752,0,70,255.1618967612712,26.334705487585104,255.0
10,0.5,-3.5,0.0,-0.0151,0.0,-9.356639767328924e-74,-0.06552053946726641,0.0,-1.122796772079471e-72,-0.13904647360719724,0,70,255.0,15.0,255.0
11,0.55,-3.5,-5.61398386039736e-75,-0.018549632368035987,0.0,-1.2163631697527601e-73,-0.07246070130744633,0.0,8.797095489813526e-88,-0.13856000000000007,0,70,254.71417206454797,7.610157520691484,255.0
12,0.6000000000000001,-3.5,-1.1227967720794717e-74,-0.022345664736071975,0.0,-9.356639767328913e-74,-0.07937653946726643,0.0,1.1227967720794727e-72,-0.13807352639280288,0,70,254.332344129096,3.508315041382974,255.0
13,0.65,-3.5,-1.4034959650993389e-74,-0.026486880920089963,0.0,-9.35663976732892e-75,-0.08626805394672662,0.0,2.2455935441589422e-72,-0.1375870527856057,0,70,253.89343016137,1.8013938017287208,255.0
14,0.7000000000000001,-3.5,-1.1227967720794697e-74,-0.030972064736071975,0.0,1.3099295674260512e-73,-0.093135244745827,0.0,3.368390316238414e-72,-0.1371005791784085,0,70,253.43634412909597,1.5963150413829794,255.0
15,0.75,-3.5,0.0,-0.0358,0.0,3.2748239185651237e-73,-0.0999781118645675,0.0,4.4911870883178833e-72,-0.1366141055712108,0,70,253.0,2.0,255.0
16,0.8,-3.5,2.0210341897430498e-74,-0.04096996347507045,0.0,4.453760529248568e-73,-0.10682623213581179,0.0,2.2455935441589055e-73,-0.13731070527856046,0,70,252.61138056762724,2.2802329255106377,255.0
17,0.8500000000000001,-3.5,4.098208218090072e-74,-0.04648320371333732,0.0,3.4993832729810145e-73,-0.11370918239242356,0.0,-4.042068379486102e-72,-0.13800730498591013,0,70,252.2497439287997,2.3482500989521258,255.0
18,0.9,-3.5,5.164865151565566e-74,-0.052341462214068935,0.0,4.116921497624717e-74,-0.1206269626344028,0.0,-8.308696113388087e-72,-0.13870390469325983,0,70,251.8824170061585,2.2761508096382954,255.0
19,0.9500000000000001,-3.5,4.1543480566940394e-74,-0.05854648047653372,0.0,-4.809312840407077e-73,-0.1275795728617495,0.0,-1.257532384729008e-71,-0.1394005044006095,0,70,251.4767267223449,2.136034346882976,255.0
20,1.0,-3.5,0.0,-0.0651,0.0,-1.2163631697527601e-72,-0.13456701307446375,0.0,-1.6841951581192064e-71,-0.14009710410795928,0,70,251.0,2.0,255.0
21,1.05,-3.5,-7.522738372932463e-74,-0.07200251373168223,0.0,-1.6598678947241512e-72,-0.14151437014930668,0.0,-8.982374176635642e-73,-0.1377971788857575,0,70,250.43230566494302,1.9249107772659608,255.0
22,1.1,-3.5,-1.5270036100280816e-73,-0.07924952041057885,0.0,-1.3061869115191167e-72,-0.14834673096303952,0.0,1.5045476745864936e-71,-0.1354972536635557,0,70,249.80468015570523,1.9066845628085172,255.0
23,1.1500000000000001,-3.5,-1.925596464116293e-73,-0.08683527022363437,0.0,-1.553202201376558e-73,-0.15506409551566228,0.0,3.098919090939344e-71,-0.1331973284413539,0,70,249.16090181399593,1.9260029597180934,255.0
24,1.2000000000000002,-3.5,-1.5494595454696666e-73,-0.09475401335779325,0.0,1.7927321794202298e-72,-0.16166646380717492,0.0,4.693290507292194e-71,-0.1308974032191521,0,70,248.5447489815244,1.963547571085113,255.0
25,1.25,-3.5,0.0,-0.103,0.0,4.537970287154529e-72,-0.16815383583757743,0.0,6.287661923645038e-71,-0.12859747799695143,0,70,248.0,2.0,255.0
26,1.3,-3.5,2.8069919301986802e-73,-0.11156878159820066,0.0,6.194095525971749e-72,-0.17460428726696145,0.0,3.368390316238364e-72,-0.12942057917840924,0,70,247.5553967726007,2.0201239654255203,255.0
27,1.35,-3.5,5.69819361830332e-73,-0.12046111464434738,0.0,4.874809318778365e-72,-0.18109589375541835,0.0,-5.613983860397365e-71,-0.13024368035986705,0,70,247.17953544837937,2.0250116498138055,255.0
28,1.4000000000000001,-3.5,7.185899341308616e-73,-0.12967905689139372,0.0,5.80111665574377e-73,-0.18762865530294817,0.0,-1.1564806752418567e-70,-0.13106678154132484,0,70,246.82597573785776,2.019837351489331,255.0
29,1.4500000000000002,-3.5,5.782403376209262e-73,-0.13922466609229342,0.0,-6.689997433640212e-72,-0.19420257190955084,0.0,-1.751562964443977e-70,-0.13188988272278265,0,70,246.44827735155744,2.009775368776571,255.0
30,1.5,-3.5,0.0,-0.1491,0.0,-1.6935517978865355e-71,-0.20081764357522644,0.0,-2.346645253646094e-70,-0.1327129839042407,0,70,246.0,2.0,255.0
31,1.55,-3.5,-1.0475693883501475e-72,-0.15930635987551514,0.0,-2.311651420916284e-71,-0.20742848078284767,0.0,-1.2575323847289854e-71,-0.13172050440060912,0,70,245.45010724465425,1.9945933610319593,255.0
32,1.6,-3.5,-2.1265770863185193e-72,-0.16984202101203177,0.0,-1.8193050363594342e-71,-0.21398969401528736,0.0,2.095138776700297e-70,-0.13072802489697755,0,70,244.82917805077722,1.9932688379362602,255.0
33,1.6500000000000001,-3.5,-2.681800090111816e-72,-0.18070450221079085,0.0,-2.1651264421598514e-72,-0.22050128327254548,0.0,4.316030791873493e-70,-0.12973554539334597,0,70,244.18319523457308,1.9946476343245811,255.0
34,1.7000000000000002,-3.5,-2.1580153959367387e-72,-0.19189132227303332,0.0,2.4967257555140624e-71,-0.22696324855462197,0.0,6.536922807046688e-70,-0.1287430658897144,0,70,243.55814161224595,1.997350953808602,255.0
35,1.75,-3.5,0.0,-0.2034,0.0,6.320410162830689e-71,-0.2333755898615169,0.0,8.757814822219874e-70,-0.12775058638608305,0,70,243.0,2.0,255.0
36,1.8,-3.5,3.909578360380722e-72,-0.2152281788997389,0.0,8.627196131067962e-71,-0.2397457896016478,0.0,4.6932905072921134e-71,-0.12705740321915196,0,70,242.54017424878234,2.0015025904466435,255.0
37,1.85,-3.5,7.936488983443746e-72,-0.2273740013075257,0.0,6.7897392135599e-71,-0.24608133018343212,0.0,-7.819156720761451e-70,-0.12636422005222087,0,70,242.1517523485117,2.001912998441154,255.0
38,1.9000000000000001,-3.5,1.0008610426316405e-71,-0.23983573426544302,0.0,8.080394103065046e-72,-0.2523822116068699,0.0,-1.6107642492252116e-69,-0.12567103688528974,0,70,241.79324332384996,2.0015721112123432,255.0
39,1.9500000000000002,-3.5,8.05382124612603e-72,-0.2526116448155736,0.0,-9.317903278692224e-71,-0.25864843387196107,0.0,-2.4396128263742777e-69,-0.12497785371835865,0,70,241.42315619945884,2.0008208159890217,255.0
40,2.0,-3.5,0.0,-0.2657,0.0,-2.358808885343622e-70,-0.26487999697870573,0.0,-3.2684614035233407e-69,-0.12428467055142667,0,70,241.0,2.0,255.0
41,2.0500000000000003,-3.5,-1.459074405317281e-71,-0.2790993245255294,0.0,-3.219713310335557e-70,-0.27109236081056104,0.0,-1.751562964443815e-70,-0.12420988272278306,0,70,240.49319576021645,1.9993962771814675,255.0
42,2.1,-3.5,-2.9619378847456466e-71,-0.2928091737578655,0.0,-2.5339651817880182e-70,-0.27730098525098407,0.0,2.91814881063455e-69,-0.12413509489413946,0,70,239.91581255517585,1.9990791682991238,255.0
43,2.15,-3.5,-3.73526416151538e-71,-0.3068293607274371,0.0,-3.0156449970101654e-71,-0.2835058702999749,0.0,6.011453917713481e-69,-0.12406030706549584,0,70,239.29183147002703,1.9990639208260461,255.0
44,2.2,-3.5,-3.0057269588567393e-71,-0.32115969846467257,0.0,3.477488735925482e-70,-0.2897070159575336,0.0,9.104759024792441e-69,-0.12398551923685223,0,70,238.64523358991877,1.9993657822353124,255.0
45,2.25,-3.5,0.0,-0.3358,0.0,8.803194525091419e-70,-0.2959044222236601,0.0,1.2198064131871373e-68,-0.1239107314082073,0,70,238.0,2.0,255.0
46,2.3000000000000003,-3.5,5.44533978523105e-71,-0.35074972299814394,0.0,1.201613362823543e-69,-0.30207676715610815,0.0,6.536922807046084e-70,-0.12298306588971517,0,70,237.37504271035183,2.000912300827487,255.0
47,2.35,-3.5,1.1054102640638213e-70,-0.36600690366101213,0.0,9.456886805796078e-70,-0.3082027288126316,0.0,-1.0890679570462057e-68,-0.12205540037122305,0,70,236.76899743078485,2.0017703283623507,255.0
48,2.4000000000000004,-3.5,1.3940195603429883e-70,-0.3815692228248084,0.0,1.1254540577733163e-70,-0.3142823071932305,0.0,-2.243505142162882e-68,-0.12112773485273091,0,70,236.17543079604195,2.0021722054834723,255.0
49,2.45,-3.5,1.1217525710814351e-70,-0.39743436132573645,0.0,-1.2978164615832712e-69,-0.32031550229790473,0.0,-3.397942327279549e-68,-0.12020006933423878,0,70,235.58790944086599,2.0017160550697284,255.0
