idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.0,0.0,0.0,0,0,10,127,127,127
1,0.05,0.0,0.0,-0.05,0.0,0.0,-1.0,0.0,0.0,0,0,10,127,127,127
2,0.1,0.0,0.0,-0.1,0.0,0.0,-1.0,0.0,0.0,0,0,10,128,126,126
3,0.15,0.0,0.0,-0.15,0.0,0.0,-1.0,0.0,0.0,0,0,10,128,126,126
4,0.2,0.0,0.0,-0.2,0.0,0.0,-1.0,0.0,0.0,0,0,10,129,125,125
5,0.25,0.0,0.0,-0.25,0.0,0.0,-1.0,0.0,0.0,0,0,10,129,125,125
6,0.3,0.0,0.0,-0.3,0.0,0.0,-1.0,0.0,0.0,0,0,10,129,125,125
7,0.35,0.0,0.0,-0.35,0.0,0.0,-1.0,0.0,0.0,0,0,10,130,124,124
8,0.4,0.0,0.0,-0.4,0.0,0.0,-1.0,0.0,0.0,0,0,10,130,124,124
9,0.45,0.0,0.0,-0.45,0.0,0.0,-1.0,0.0,0.0,0,0,10,131,123,123
10,0.5,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0,0,10,131,123,123
11,0.55,0.0,0.0,-0.55,0.0,0.0,-1.0,0.0,0.0,0,0,10,131,123,123
12,0.6000000000000001,0.0,0.0,-0.6000000000000001,0.0,0.0,-1.0,0.0,0.0,0,0,10,132,122,122
13,0.65,0.0,0.0,-0.65,0.0,0.0,-1.0,0.0,0.0,0,0,10,132,122,122
14,0.7000000000000001,0.0,0.0,-0.7000000000000001,0.0,0.0,-1.0,0.0,0.0,0,0,10,133,121,121
15,0.75,0.0,0.0,-0.75,0.0,0.0,-1.0,0.0,0.0,0,0,10,133,121,121
16,0.8,0.0,0.0,-0.8,0.0,0.0,-1.0,0.0,0.0,0,0,10,133,121,121
17,0.8500000000000001,0.0,0.0,-0.8500000000000001,0.0,0.0,-1.0,0.0,0.0,0,0,10,134,120,120
18,0.9,0.0,0.0,-0.9,0.0,0.0,-1.0,0.0,0.0,0,0,10,134,120,120
19,0.95,0.0,0.0,-0.95,0.0,0.0,-1.0,0.0,0.0,0,0,10,135,119,119
20,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0,0,10,135,119,119
21,1.05,0.0,0.0,-1.05,0.0,0.0,-1.0,0.0,0.0,0,0,10,135,119,119
22,1.1,0.0,0.0,-1.1,0.0,0.0,-1.0,0.0,0.0,0,0,10,136,118,118
23,1.15,0.0,0.0,-1.15,0.0,0.0,-1.0,0.0,0.0,0,0,10,136,118,118
24,1.2000000000000002,0.0,0.0,-1.2000000000000002,0.0,0.0,-1.0,0.0,0.0,0,0,10,137,117,117
25,1.25,0.0,0.0,-1.25,0.0,0.0,-1.0,0.0,0.0,0,0,10,137,117,117
26,1.3,0.0,0.0,-1.3,0.0,0.0,-1.0,0.0,0.0,0,0,10,137,117,117
27,1.35,0.0,0.0,-1.35,0.0,0.0,-1.0,0.0,0.0,0,0,10,138,116,116
28,1.4,0.0,0.0,-1.4,0.0,0.0,-1.0,0.0,0.0,0,0,10,138,116,116
29,1.4500000000000002,0.0,0.0,-1.4500000000000002,0.0,0.0,-1.0,0.0,0.0,0,0,10,139,115,115
30,1.5,0.0,0.0,-1.5,0.0,0.0,-1.0,0.0,0.0,0,0,10,139,115,115
31,1.55,0.0,0.0,-1.55,0.0,0.0,-1.0,0.0,0.0,0,0,10,139,115,115
32,1.6,0.0,0.0,-1.6,0.0,0.0,-1.0,0.0,0.0,0,0,10,140,114,114
33,1.65,0.0,0.0,-1.65,0.0,0.0,-1.0,0.0,0.0,0,0,10,140,114,114
34,1.7000000000000002,0.0,0.0,-1.7000000000000002,0.0,0.0,-1.0,0.0,0.0,0,0,10,140,114,114
35,1.75,0.0,0.0,-1.75,0.0,0.0,-1.0,0.0,0.0,0,0,10,141,113,113
36,1.8,0.0,0.0,-1.8,0.0,0.0,-1.0,0.0,0.0,0,0,10,141,113,113
37,1.85,0.0,0.0,-1.85,0.0,0.0,-1.0,0.0,0.0,0,0,10,142,112,112
38,1.9,0.0,0.0,-1.9,0.0,0.0,-1.0,0.0,0.0,0,0,10,142,112,112
39,1.95,0.0,0.0,-1.95,0.0,0.0,-1.0,0.0,0.0,0,0,10,142,112,112
40,2.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0,0,10,143,111,111
41,2.0500000000000003,0.0,0.0,-2.0500000000000003,0.0,0.0,-1.0,0.0,0.0,0,0,10,143,111,111
42,2.1,0.0,0.0,-2.1,0.0,0.0,-1.0,0.0,0.0,0,0,10,144,110,110
43,2.15,0.0,0.0,-2.15,0.0,0.0,-1.0,0.0,0.0,0,0,10,144,110,110
44,2.2,0.0,0.0,-2.2,0.0,0.0,-1.0,0.0,0.0,0,0,10,144,110,110
45,2.25,0.0,0.0,-2.25,0.0,0.0,-1.0,0.0,0.0,0,0,10,145,109,109
46,2.3000000000000003,0.0,0.0,-2.3000000000000003,0.0,0.0,-1.0,0.0,0.0,0,0,10,145,109,109
47,2.35,0.0,0.0,-2.35,0.0,0.0,-1.0,0.0,0.0,0,0,10,146,108,108
48,2.4000000000000004,0.0,0.0,-2.4000000000000004,0.0,0.0,-1.0,0.0,0.0,0,0,10,146,108,108
49,2.45,0.0,0.0,-2.45,0.0,0.0,-1.0,0.0,0.0,0,0,10,146,108,108
50,2.5,0.0,0.0,-2.5,0.0,0.0,-1.0,0.0,0.0,0,0,10,147,107,107
51,2.5500000000000003,0.0,0.0,-2.5500000000000003,0.0,0.0,-1.0,0.0,0.0,0,0,10,147,107,107
52,2.6,0.0,0.0,-2.6,0.0,0.0,-1.0,0.0,0.0,0,0,10,148,106,106
53,2.6500000000000004,0.0,0.0,-2.6500000000000004,0.0,0.0,-1.0,0.0,0.0,0,0,10,148,106,106
54,2.7,0.0,0.0,-2.7,0.0,0.0,-1.0,0.0,0.0,0,0,10,148,106,106
55,2.75,0.0,0.0,-2.75,0.0,0.0,-1.0,0.0,0.0,0,0,10,149,105,105
56,2.8000000000000003,0.0,0.0,-2.8000000000000003,0.0,0.0,-1.0,0.0,0.0,0,0,10,149,105,105
57,2.85,0.0,0.0,-2.85,0.0,0.0,-1.0,0.0,0.0,0,0,10,150,104,104
58,2.9000000000000004,0.0,0.0,-2.9000000000000004,0.0,0.0,-1.0,0.0,0.0,0,0,10,150,104,104
59,2.95,0.0,0.0,-2.95,0.0,0.0,-1.0,0.0,0.0,0,0,10,150,104,104
60,3.0,0.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0,0,10,151,103,103
