idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,1.5000000000000009,-13.500000000000007,2.6151940385618946e-18,-7.137468420292947e-05,0.00012308619673717658,0.001152297940709489,-0.005390835438667807,0.005046092022098492,-0.03968198627139664,0.0,70.0,255.0,255.0,255.0
1,0.05,1.4999964312657907,-13.49999384569017,5.7614897035477075e-05,-0.0003409164561363198,0.00037539079784210116,-0.0008318013728603429,-0.00821239872814683,0.007738376530319613,-0.05956273112317039,0.0,70.0,255.0,255.0,255.0
2,0.1,1.4999659083543873,-13.499962460920223,-8.318013728603168e-05,-0.0008926145570176125,0.0008969238497691379,-0.00480397517160755,-0.011286253157960502,0.010769138032706849,-0.07952297940709496,0.0,70.0,255.0,255.0,255.0
3,0.15000000000000002,1.499907169810089,-13.499904153305193,-0.0004227826201252779,-0.00146954177193237,0.001452304601112786,-0.00878409931356984,-0.011790835438318936,0.011446092018196907,-0.07968198627140083,0.0,70.0,255.0,255.0,255.0
4,0.2,1.499818954177194,-13.499817230460112,-0.0009615900686430158,-0.002071698100849506,0.0020415330515888286,-0.012772173798747634,-0.012299290074579972,0.012130534552845518,-0.0798443289440456,0.0,70.0,255.0,255.0,255.0
5,0.25,1.499700000000004,-13.499700000000034,-0.0017000000000000413,-0.002699470779390367,0.002665358056397338,-0.0167685322079744,-0.012830010755737753,0.012858036228990954,-0.08002585251464846,0.0,70.0,255.0,255.0,255.0
6,0.30000000000000004,1.499549007099255,-13.499550694654472,-0.002638443289440456,-0.0033546991764232814,0.003327336674487924,-0.02077475905021248,-0.013388913579359674,0.013640037865947363,-0.08023165335707984,0.0,70.0,255.0,255.0,255.0
7,0.35000000000000003,1.4993645300823617,-13.499367266332586,-0.0037774759050212894,-0.0040383621373263345,0.004029361842992074,-0.024791697543682385,-0.013925550358417915,0.014378980364604388,-0.08041827330154905,0.0,70.0,255.0,255.0,255.0
8,0.4,1.4991451708855223,-13.499147758470173,-0.0051176130438086945,-0.004747254212265073,0.004765234710948363,-0.028816586380367385,-0.014359354585002926,0.014919060388329797,-0.08051630900226668,0.0,70.0,255.0,255.0,255.0
9,0.45,1.4988898046611352,-13.49889074286149,-0.006659134543058028,-0.005474297595826627,0.005521267881825054,-0.03284332844390905,-0.014623724151285877,0.015125654525327548,-0.080463533706881,0.0,70.0,255.0,255.0,255.0
10,0.5,1.4985977411259397,-13.49859563168199,-0.0084019458881996,-0.006209626627393661,0.006277800163481118,-0.036862939751055486,-0.014670136970518222,0.014877259299694856,-0.08019509708536238,0.0,70.0,255.0,255.0,255.0
11,0.55,1.4982688419983958,-13.498262962845143,-0.010345428518163577,-0.006941311292878449,0.007008993811794539,-0.04086283815244529,-0.01448253361624463,0.014133918794101419,-0.07968975069140447,0.0,70.0,255.0,255.0,255.0
12,0.6000000000000001,1.4979036099966518,-13.49789473230081,-0.01248822970344413,-0.007657879989018124,0.0076911920428912595,-0.04483191482019593,-0.014100696275098912,0.01304845361502771,-0.0790449873578429,0.0,70.0,255.0,255.0,255.0
13,0.65,1.497503053999494,-13.497493843640854,-0.01482862000018317,-0.00835138092038834,0.00831383917329731,-0.04876733688822958,-0.013606267216426104,0.011899941609527787,-0.07843210489155136,0.0,70.0,255.0,255.0,255.0
14,0.7000000000000001,1.497068471904613,-13.497063348383481,-0.017364963392267087,-0.009018506710660734,0.008881186203844038,-0.05267512530935107,-0.01309583226387634,0.010981679469068695,-0.07802695661399198,0.0,70.0,255.0,255.0,255.0
15,0.75,1.496601203328428,-13.49660572502047,-0.020096132531118277,-0.009660964146775974,0.00941200712020418,-0.05657003254962878,-0.012659498738032404,0.01057096280003833,-0.0780115930105317,0.0,70.0,255.0,255.0,255.0
16,0.8,1.4961023754899354,-13.49612214767146,-0.023021966647229965,-0.010284456584463975,0.009938282483847871,-0.06047628461040424,-0.012351024777790265,0.010805575038830284,-0.07846647921944075,0.0,70.0,255.0,255.0,255.0
17,0.8500000000000001,1.4955727576699815,-13.495611896772084,-0.0261437609921587,-0.010896066624555,0.010492564624087208,-0.06441668047157285,-0.012188028177551047,0.01157732172600845,-0.07923730174260658,0.0,70.0,255.0,255.0,255.0
18,0.9,1.49501276882748,-13.495072891209052,-0.02946363469438725,-0.01150325940221908,0.011096014656448716,-0.0684000147846649,-0.012180052073773595,0.012650217463239244,-0.08003890779516756,0.0,70.0,255.0,255.0,255.0
19,0.9500000000000001,1.4944224317297596,-13.49450229530644,-0.03298376247062519,-0.01211407183193236,0.011757586370411133,-0.07242057125108961,-0.012332433972717105,0.013774853707815282,-0.08058257923109324,0.0,70.0,255.0,255.0,255.0
20,1.0,1.4938013616442867,-13.49389713257201,-0.03670569181949621,-0.01273650279949079,0.012473500027230244,-0.07645827270777422,-0.012647858753078722,0.014714880176036615,-0.08057456816854686,0.0,70.0,255.0,255.0,255.0
21,1.05,1.4931487814498106,-13.493254945303716,-0.040629589741402614,-0.013378857707240233,0.013229074388014794,-0.0804780280679443,-0.013114392913537998,0.015331519974992602,-0.07987724618374256,0.0,70.0,255.0,255.0,255.0
22,1.1,1.4924634758735627,-13.49257422513321,-0.04475349462629064,-0.01404794209084459,0.014006652024729505,-0.08444599732614848,-0.013666351854135783,0.015609532207783161,-0.07869298515891243,0.0,70.0,255.0,255.0,255.0
23,1.1500000000000001,1.491743987240726,-13.491854280101244,-0.04907418947401746,-0.014745492892653811,0.01479002760879311,-0.08834732658383554,-0.014192685327718557,0.015570237489903604,-0.07740592360144377,0.0,70.0,255.0,255.0,255.0
24,1.2000000000000002,1.4909889265842973,-13.49109522237233,-0.053588227284674196,-0.015467210623616445,0.015563675773719865,-0.09218658968629286,-0.014575457486243337,0.01523993134213697,-0.07640207378098937,0.0,70.0,255.0,255.0,255.0
25,1.25,1.4901972661783645,-13.490297912523872,-0.05829284844264675,-0.016203038641278145,0.016314020743006807,-0.09598753396193448,-0.014705056925512494,0.014657535144202427,-0.07606607837122234,0.0,70.0,255.0,255.0,255.0
